Caracteristique|Valeur
Nom|Bob Doré
Stigma Positif|Ange de Feu
Stigma Négatif|Aucun, voyons
Stigma Bonus|Musculeux
Techniques|['Attaque Légère', 'Bô Brulant']
Sorts|['Thermosphère Chaude', 'Thermosphère Brulante', 'Thermosphère Enflammée', 'Carrousel']
Items|{'Feuille Jindagee': 0, 'Fruit Jindagee': 0, 'Feuille Aatma': 0, 'Fruit Aatma': 0, 'Crystal Elémentaire': 2, 'Ambroisie': 0, 'Hydromel': 3, 'Orbe de Furie': 1, 'Orbe de Folie': 0, 'Remède': 0, 'Remède Superieur': 0, 'Remède Divin': 0, 'Pillule': 0, 'Pillule Superieure': 0, 'Pillule Divine': 0, 'Fléchette Rouge': 0, 'Flèche Rouge': 0, 'Fléchette Bleue': 4, 'Flèche Bleue': 0, 'Poudre Explosive': 0, 'Roche Explosive': 0, 'Bombe Explosive': 0, 'Fiole de Poison': 0, 'Gourde de Poison': 0, "Sève d'Absolution": 0, "Larme d'Absolution": 0, "Soluté d'Absolution": 0, "Sève d'Exorcisme": 0, "Larme d'Exorcisme": 0, "Soluté d'Exorcisme": 0, 'Mutagène Bleu': 0, 'Grand Mutagène Bleu': 0, 'Mutagène Rouge': 0, 'Grand Mutagène Rouge': 0, 'Mutagène Vert': 0, 'Grand Mutagène Vert': 0, 'Mutagène Doré': 0, 'Grand Mutagène Doré': 0, 'Mutagène Hérétique': 0, 'Mutagène Fanatique': 0}
Talents|['Affinitée de Feu', 'Pyrophile']
Points de vie max|4028
Points de vie|1534
Points de mana max|2034
Points de mana|2030
Points de force|200
Points d'intelligence|200
Points de defence|200
Chance de coup critique|15
Degat de coup critique|5
Chance de sort critique|22
Degat de sort critique|7
Chance d'esquive|0
Nombre de gold|859
Nombre de Redcoins|1
Nombre de monstres tués|4
Numéro de l'etage|5
Quete en cours|None
Le Boss a ete Battu|True
Commentaire pour l'affichage du Boss dans le menu|Descendre a l'étage inferieur
Nombre d'ennemis restant a l'étage|12
Le Redcoin d'extermination a ete recu|False
Le Redcoin du marchand a ete achete|False
Nombre de Tirage acheté|0
Possede une gemme de vie|False
Possede une gemme de mana|False
Possede une fée|False
Le livre de sort a ete utilise|False
La fontaine a ete utilise|False
Nombre de Gold dans l'étang|50
Quete complétées|['Voeu de Pauvreté', 'Interminable', 'Moqueries Magiques']
Livre de sort|["Tir Arcanique"]
